Time(s)	Elevation(m)
35.4000	-0.6594
35.5000	-0.7182
35.6000	-0.7780
35.7000	-0.8390
35.8000	-0.9009
35.9000	-0.9633
36.0000	-1.0253
36.1000	-1.0857
36.2000	-1.1430
36.3000	-1.1953
36.4000	-1.2403
36.5000	-1.2759
36.6000	-1.2995
36.7000	-1.3087
36.8000	-1.3012
36.9000	-1.2750
37.0000	-1.2281
37.1000	-1.1593
37.2000	-1.0678
37.3000	-0.9532
37.4000	-0.8161
37.5000	-0.6575
37.6000	-0.4791
37.7000	-0.2833
37.8000	-0.0729
37.9000	0.1486
38.0000	0.3774
38.1000	0.6097
38.2000	0.8412
38.3000	1.0680
38.4000	1.2863
38.5000	1.4924
38.6000	1.6834
38.7000	1.8566
38.8000	2.0101
38.9000	2.1425
39.0000	2.2531
39.1000	2.3416
39.2000	2.4086
39.3000	2.4546
39.4000	2.4809
39.5000	2.4888
39.6000	2.4796
39.7000	2.4549
39.8000	2.4160
39.9000	2.3640
40.0000	2.2997
40.1000	2.2239
40.2000	2.1370
40.3000	2.0390
40.4000	1.9299
40.5000	1.8095
40.6000	1.6775
40.7000	1.5340
40.8000	1.3787
40.9000	1.2119
41.0000	1.0340
41.1000	0.8458
41.2000	0.6485
41.3000	0.4435
41.4000	0.2327
41.5000	0.0181
41.6000	-0.1979
41.7000	-0.4130
41.8000	-0.6248
41.9000	-0.8308
42.0000	-1.0289
42.1000	-1.2171
42.2000	-1.3938
42.3000	-1.5576
42.4000	-1.7075
42.5000	-1.8432
42.6000	-1.9642
42.7000	-2.0707
42.8000	-2.1630
42.9000	-2.2416
43.0000	-2.3069
43.1000	-2.3595
43.2000	-2.3998
43.3000	-2.4283
43.4000	-2.4449
43.5000	-2.4496
43.6000	-2.4421
43.7000	-2.4219
43.8000	-2.3883
43.9000	-2.3408
44.0000	-2.2784
44.1000	-2.2006
44.2000	-2.1068
44.3000	-1.9969
44.4000	-1.8709
44.5000	-1.7294
44.6000	-1.5731
44.7000	-1.4034
44.8000	-1.2222
44.9000	-1.0315
45.0000	-0.8339
45.1000	-0.6320
45.2000	-0.4286
45.3000	-0.2267
45.4000	-0.0290
45.5000	0.1620
45.6000	0.3440
45.7000	0.5153
45.8000	0.6744
45.9000	0.8206
46.0000	0.9535
46.1000	1.0733
46.2000	1.1805
46.3000	1.2762
46.4000	1.3614
46.5000	1.4377
46.6000	1.5062
46.7000	1.5682
46.8000	1.6249
46.9000	1.6768
47.0000	1.7244
47.1000	1.7677
47.2000	1.8061
47.3000	1.8388
47.4000	1.8647
47.5000	1.8822
47.6000	1.8900
47.7000	1.8863
47.8000	1.8697
47.9000	1.8391
48.0000	1.7934
48.1000	1.7323
48.2000	1.6558
48.3000	1.5645
48.4000	1.4594
48.5000	1.3423
48.6000	1.2151
48.7000	1.0803
48.8000	0.9404
48.9000	0.7981
49.0000	0.6562
49.1000	0.5170
49.2000	0.3828
49.3000	0.2554
49.4000	0.1363
49.5000	0.0263
49.6000	-0.0741
49.7000	-0.1650
49.8000	-0.2469
49.9000	-0.3205
50.0000	-0.3868
50.1000	-0.4471
50.2000	-0.5026
50.3000	-0.5543
50.4000	-0.6033
50.5000	-0.6503
50.6000	-0.6959
50.7000	-0.7404
50.8000	-0.7836
50.9000	-0.8253
51.0000	-0.8651
51.1000	-0.9024
51.2000	-0.9364
51.3000	-0.9667
51.4000	-0.9927
51.5000	-1.0141
51.6000	-1.0305
51.7000	-1.0421
51.8000	-1.0492
51.9000	-1.0522
52.0000	-1.0518
52.1000	-1.0488
52.2000	-1.0441
52.3000	-1.0386
52.4000	-1.0332
52.5000	-1.0286
52.6000	-1.0254
52.7000	-1.0241
52.8000	-1.0248
52.9000	-1.0274
53.0000	-1.0317
53.1000	-1.0371
53.2000	-1.0429
53.3000	-1.0483
53.4000	-1.0523
53.5000	-1.0538
53.6000	-1.0518
53.7000	-1.0454
53.8000	-1.0334
53.9000	-1.0151
54.0000	-0.9896
54.1000	-0.9564
54.2000	-0.9148
54.3000	-0.8645
54.4000	-0.8052
54.5000	-0.7369
54.6000	-0.6596
54.7000	-0.5734
54.8000	-0.4786
54.9000	-0.3757
55.0000	-0.2653
55.1000	-0.1480
55.2000	-0.0248
55.3000	0.1033
55.4000	0.2354
55.5000	0.3701
55.6000	0.5062
55.7000	0.6423
55.8000	0.7771
55.9000	0.9092
56.0000	1.0373
56.1000	1.1601
56.2000	1.2765
56.3000	1.3855
56.4000	1.4863
56.5000	1.5780
56.6000	1.6602
56.7000	1.7324
56.8000	1.7945
56.9000	1.8463
57.0000	1.8878
57.1000	1.9191
57.2000	1.9405
57.3000	1.9521
57.4000	1.9542
57.5000	1.9472
57.6000	1.9314
57.7000	1.9071
57.8000	1.8748
57.9000	1.8347
58.0000	1.7874
58.1000	1.7333
58.2000	1.6728
58.3000	1.6063
58.4000	1.5343
58.5000	1.4571
58.6000	1.3750
58.7000	1.2883
58.8000	1.1972
58.9000	1.1015
59.0000	1.0011
59.1000	0.8959
59.2000	0.7855
59.3000	0.6693
59.4000	0.5471
59.5000	0.4183
59.6000	0.2825
59.7000	0.1396
59.8000	-0.0105
59.9000	-0.1675
60.0000	-0.3307
60.1000	-0.4994
60.2000	-0.6722
60.3000	-0.8475
60.4000	-1.0233
60.5000	-1.1974
60.6000	-1.3675
60.7000	-1.5311
60.8000	-1.6858
60.9000	-1.8294
61.0000	-1.9598
61.1000	-2.0752
61.2000	-2.1745
61.3000	-2.2567
61.4000	-2.3213
61.5000	-2.3685
61.6000	-2.3988
61.7000	-2.4128
61.8000	-2.4118
61.9000	-2.3970
62.0000	-2.3697
62.1000	-2.3312
62.2000	-2.2828
62.3000	-2.2256
62.4000	-2.1603
62.5000	-2.0877
62.6000	-2.0081
62.7000	-1.9217
62.8000	-1.8286
62.9000	-1.7288
63.0000	-1.6224
63.1000	-1.5093
63.2000	-1.3899
63.3000	-1.2647
63.4000	-1.1341
63.5000	-0.9990
63.6000	-0.8606
63.7000	-0.7198
63.8000	-0.5779
63.9000	-0.4361
64.0000	-0.2954
64.1000	-0.1567
64.2000	-0.0205
64.3000	0.1128
64.4000	0.2434
64.5000	0.3718
64.6000	0.4985
64.7000	0.6246
64.8000	0.7512
64.9000	0.8791
65.0000	1.0094
65.1000	1.1427
65.2000	1.2792
65.3000	1.4186
65.4000	1.5602
65.5000	1.7025
65.6000	1.8436
65.7000	1.9810
65.8000	2.1119
65.9000	2.2330
66.0000	2.3411
66.1000	2.4330
66.2000	2.5059
66.3000	2.5570
66.4000	2.5844
66.5000	2.5869
66.6000	2.5637
66.7000	2.5152
66.8000	2.4421
66.9000	2.3461
67.0000	2.2295
67.1000	2.0948
67.2000	1.9451
67.3000	1.7835
67.4000	1.6134
67.5000	1.4376
67.6000	1.2593
67.7000	1.0811
67.8000	0.9052
67.9000	0.7335
68.0000	0.5679
68.1000	0.4095
68.2000	0.2594
68.3000	0.1186
68.4000	-0.0124
68.5000	-0.1329
68.6000	-0.2424
68.7000	-0.3406
68.8000	-0.4271
68.9000	-0.5020
69.0000	-0.5652
69.1000	-0.6171
69.2000	-0.6583
69.3000	-0.6898
69.4000	-0.7129
69.5000	-0.7294
69.6000	-0.7413
69.7000	-0.7510
69.8000	-0.7608
69.9000	-0.7734
70.0000	-0.7912
70.1000	-0.8165
70.2000	-0.8510
70.3000	-0.8960
70.4000	-0.9522
70.5000	-1.0195
70.6000	-1.0973
70.7000	-1.1841
70.8000	-1.2778
70.9000	-1.3758
71.0000	-1.4751
71.1000	-1.5728
71.2000	-1.6656
71.3000	-1.7508
71.4000	-1.8259
71.5000	-1.8889
71.6000	-1.9386
71.7000	-1.9744
71.8000	-1.9963
71.9000	-2.0051
72.0000	-2.0020
72.1000	-1.9886
72.2000	-1.9666
72.3000	-1.9379
72.4000	-1.9039
72.5000	-1.8657
72.6000	-1.8239
72.7000	-1.7786
72.8000	-1.7290
72.9000	-1.6738
73.0000	-1.6111
73.1000	-1.5387
73.2000	-1.4539
73.3000	-1.3542
73.4000	-1.2370
73.5000	-1.1005
73.6000	-0.9431
73.7000	-0.7642
73.8000	-0.5638
73.9000	-0.3432
74.0000	-0.1043
74.1000	0.1500
74.2000	0.4161
74.3000	0.6898
74.4000	0.9665
74.5000	1.2415
74.6000	1.5100
74.7000	1.7677
74.8000	2.0106
74.9000	2.2351
75.0000	2.4386
75.1000	2.6191
75.2000	2.7752
75.3000	2.9065
75.4000	3.0131
75.5000	3.0955
75.6000	3.1548
75.7000	3.1923
75.8000	3.2095
75.9000	3.2079
76.0000	3.1890
76.1000	3.1541
76.2000	3.1046
76.3000	3.0414
76.4000	2.9655
76.5000	2.8777
76.6000	2.7787
76.7000	2.6690
76.8000	2.5492
76.9000	2.4197
77.0000	2.2812
77.1000	2.1341
77.2000	1.9789
77.3000	1.8159
77.4000	1.6457
77.5000	1.4684
77.6000	1.2844
77.7000	1.0939
77.8000	0.8969
77.9000	0.6935
78.0000	0.4839
78.1000	0.2683
78.2000	0.0471
78.3000	-0.1790
78.4000	-0.4091
78.5000	-0.6418
78.6000	-0.8756
78.7000	-1.1083
78.8000	-1.3376
78.9000	-1.5607
79.0000	-1.7748
79.1000	-1.9770
79.2000	-2.1645
79.3000	-2.3347
79.4000	-2.4856
79.5000	-2.6155
79.6000	-2.7236
79.7000	-2.8095
79.8000	-2.8739
79.9000	-2.9180
80.0000	-2.9436
80.1000	-2.9533
80.2000	-2.9499
80.3000	-2.9361
80.4000	-2.9151
80.5000	-2.8893
80.6000	-2.8611
80.7000	-2.8320
80.8000	-2.8028
80.9000	-2.7736
81.0000	-2.7438
81.1000	-2.7118
81.2000	-2.6756
81.3000	-2.6325
81.4000	-2.5798
81.5000	-2.5146
81.6000	-2.4341
81.7000	-2.3360
81.8000	-2.2184
81.9000	-2.0804
82.0000	-1.9217
82.1000	-1.7428
82.2000	-1.5452
82.3000	-1.3310
82.4000	-1.1029
82.5000	-0.8643
82.6000	-0.6186
82.7000	-0.3694
82.8000	-0.1204
82.9000	0.1252
83.0000	0.3645
83.1000	0.5950
83.2000	0.8149
83.3000	1.0227
83.4000	1.2177
83.5000	1.3992
83.6000	1.5672
83.7000	1.7217
83.8000	1.8630
83.9000	1.9914
84.0000	2.1070
84.1000	2.2101
84.2000	2.3005
84.3000	2.3784
84.4000	2.4436
84.5000	2.4962
84.6000	2.5362
84.7000	2.5640
84.8000	2.5801
84.9000	2.5854
85.0000	2.5810
85.1000	2.5684
85.2000	2.5494
85.3000	2.5258
85.4000	2.4994
85.5000	2.4720
85.6000	2.4451
85.7000	2.4196
85.8000	2.3960
85.9000	2.3740
86.0000	2.3525
86.1000	2.3299
86.2000	2.3036
86.3000	2.2705
86.4000	2.2272
86.5000	2.1700
86.6000	2.0950
86.7000	1.9988
86.8000	1.8785
86.9000	1.7318
87.0000	1.5573
87.1000	1.3551
87.2000	1.1260
87.3000	0.8722
87.4000	0.5971
87.5000	0.3051
87.6000	0.0015
87.7000	-0.3080
87.8000	-0.6171
87.9000	-0.9193
88.0000	-1.2086
88.1000	-1.4792
88.2000	-1.7261
88.3000	-1.9449
88.4000	-2.1325
88.5000	-2.2866
88.6000	-2.4058
88.7000	-2.4900
88.8000	-2.5397
88.9000	-2.5564
89.0000	-2.5419
89.1000	-2.4986
89.2000	-2.4294
89.3000	-2.3370
89.4000	-2.2242
89.5000	-2.0940
89.6000	-1.9491
89.7000	-1.7921
89.8000	-1.6255
89.9000	-1.4518
90.0000	-1.2733
90.1000	-1.0924
90.2000	-0.9116
90.3000	-0.7335
90.4000	-0.5605
90.5000	-0.3954
90.6000	-0.2408
90.7000	-0.0993
90.8000	0.0267
90.9000	0.1350
91.0000	0.2238
91.1000	0.2917
91.2000	0.3380
91.3000	0.3625
91.4000	0.3656
91.5000	0.3485
91.6000	0.3130
91.7000	0.2613
91.8000	0.1962
91.9000	0.1208
92.0000	0.0384
92.1000	-0.0478
92.2000	-0.1345
92.3000	-0.2187
92.4000	-0.2977
92.5000	-0.3695
92.6000	-0.4322
92.7000	-0.4844
92.8000	-0.5255
92.9000	-0.5550
93.0000	-0.5729
93.1000	-0.5794
93.2000	-0.5750
93.3000	-0.5602
93.4000	-0.5357
93.5000	-0.5020
93.6000	-0.4597
93.7000	-0.4093
93.8000	-0.3514
93.9000	-0.2865
94.0000	-0.2151
94.1000	-0.1381
94.2000	-0.0562
94.3000	0.0294
94.4000	0.1172
94.5000	0.2056
94.6000	0.2925
94.7000	0.3759
94.8000	0.4534
94.9000	0.5225
95.0000	0.5808
95.1000	0.6263
95.2000	0.6570
95.3000	0.6715
95.4000	0.6689
95.5000	0.6489
95.6000	0.6120
95.7000	0.5593
95.8000	0.4924
95.9000	0.4138
96.0000	0.3264
96.1000	0.2333
96.2000	0.1379
96.3000	0.0437
96.4000	-0.0459
96.5000	-0.1279
96.6000	-0.1998
96.7000	-0.2594
96.8000	-0.3052
96.9000	-0.3365
97.0000	-0.3529
97.1000	-0.3549
97.2000	-0.3433
97.3000	-0.3193
97.4000	-0.2846
97.5000	-0.2409
97.6000	-0.1897
97.7000	-0.1327
97.8000	-0.0712
97.9000	-0.0065
98.0000	0.0607
98.1000	0.1298
98.2000	0.2007
98.3000	0.2732
98.4000	0.3474
98.5000	0.4235
98.6000	0.5015
98.7000	0.5813
98.8000	0.6625
98.9000	0.7443
99.0000	0.8259
99.1000	0.9056
99.2000	0.9819
99.3000	1.0528
99.4000	1.1161
99.5000	1.1697
99.6000	1.2114
99.7000	1.2394
99.8000	1.2522
99.9000	1.2487
100.0000	1.2284
100.1000	1.1913
100.2000	1.1381
100.3000	1.0702
100.4000	0.9894
100.5000	0.8979
100.6000	0.7984
100.7000	0.6937
100.8000	0.5868
100.9000	0.4803
101.0000	0.3768
101.1000	0.2785
101.2000	0.1872
101.3000	0.1039
101.4000	0.0295
101.5000	-0.0360
101.6000	-0.0929
101.7000	-0.1419
101.8000	-0.1840
101.9000	-0.2205
102.0000	-0.2525
102.1000	-0.2813
102.2000	-0.3080
102.3000	-0.3333
102.4000	-0.3578
102.5000	-0.3817
102.6000	-0.4050
102.7000	-0.4274
102.8000	-0.4484
102.9000	-0.4674
103.0000	-0.4839
103.1000	-0.4974
103.2000	-0.5079
103.3000	-0.5152
103.4000	-0.5197
103.5000	-0.5222
103.6000	-0.5237
103.7000	-0.5255
103.8000	-0.5291
103.9000	-0.5361
104.0000	-0.5480
104.1000	-0.5662
104.2000	-0.5918
104.3000	-0.6255
104.4000	-0.6674
104.5000	-0.7170
104.6000	-0.7734
104.7000	-0.8350
104.8000	-0.8995
104.9000	-0.9643
105.0000	-1.0266
105.1000	-1.0832
105.2000	-1.1311
105.3000	-1.1674
105.4000	-1.1895
105.5000	-1.1955
105.6000	-1.1840
105.7000	-1.1543
105.8000	-1.1065
105.9000	-1.0415
106.0000	-0.9610
106.1000	-0.8671
106.2000	-0.7627
106.3000	-0.6509
106.4000	-0.5350
106.5000	-0.4185
106.6000	-0.3047
106.7000	-0.1967
106.8000	-0.0970
106.9000	-0.0078
107.0000	0.0692
107.1000	0.1330
107.2000	0.1832
107.3000	0.2196
107.4000	0.2430
107.5000	0.2541
107.6000	0.2542
107.7000	0.2447
107.8000	0.2272
107.9000	0.2033
108.0000	0.1746
108.1000	0.1428
108.2000	0.1094
108.3000	0.0759
108.4000	0.0439
108.5000	0.0148
108.6000	-0.0099
108.7000	-0.0287
108.8000	-0.0400
108.9000	-0.0424
109.0000	-0.0343
109.1000	-0.0143
109.2000	0.0188
109.3000	0.0661
109.4000	0.1284
109.5000	0.2059
109.6000	0.2985
109.7000	0.4054
109.8000	0.5252
109.9000	0.6560
110.0000	0.7949
110.1000	0.9388
110.2000	1.0839
110.3000	1.2259
110.4000	1.3605
110.5000	1.4832
110.6000	1.5897
110.7000	1.6761
110.8000	1.7389
110.9000	1.7754
111.0000	1.7838
111.1000	1.7632
111.2000	1.7137
111.3000	1.6365
111.4000	1.5338
111.5000	1.4087
111.6000	1.2651
111.7000	1.1073
111.8000	0.9404
111.9000	0.7692
112.0000	0.5990
112.1000	0.4342
112.2000	0.2792
112.3000	0.1376
112.4000	0.0122
112.5000	-0.0952
112.6000	-0.1837
112.7000	-0.2531
112.8000	-0.3045
112.9000	-0.3395
113.0000	-0.3606
113.1000	-0.3705
113.2000	-0.3728
113.3000	-0.3707
113.4000	-0.3678
113.5000	-0.3673
113.6000	-0.3720
113.7000	-0.3845
113.8000	-0.4064
113.9000	-0.4390
114.0000	-0.4827
114.1000	-0.5371
114.2000	-0.6015
114.3000	-0.6742
114.4000	-0.7531
114.5000	-0.8358
114.6000	-0.9195
114.7000	-1.0014
114.8000	-1.0784
114.9000	-1.1479
115.0000	-1.2073
115.1000	-1.2543
115.2000	-1.2872
115.3000	-1.3048
115.4000	-1.3062
115.5000	-1.2914
115.6000	-1.2605
115.7000	-1.2145
115.8000	-1.1546
115.9000	-1.0825
116.0000	-1.0000
116.1000	-0.9092
116.2000	-0.8124
116.3000	-0.7116
116.4000	-0.6089
116.5000	-0.5061
116.6000	-0.4048
116.7000	-0.3065
116.8000	-0.2119
116.9000	-0.1219
117.0000	-0.0367
117.1000	0.0436
117.2000	0.1190
117.3000	0.1900
117.4000	0.2569
117.5000	0.3202
117.6000	0.3801
117.7000	0.4371
117.8000	0.4911
117.9000	0.5421
118.0000	0.5898
118.1000	0.6336
118.2000	0.6730
118.3000	0.7070
118.4000	0.7348
118.5000	0.7555
118.6000	0.7683
118.7000	0.7723
118.8000	0.7672
118.9000	0.7528
119.0000	0.7293
119.1000	0.6971
119.2000	0.6571
119.3000	0.6107
119.4000	0.5593
119.5000	0.5047
119.6000	0.4491
119.7000	0.3944
119.8000	0.3427
119.9000	0.2959
120.0000	0.2556
120.1000	0.2232
120.2000	0.1995
120.3000	0.1849
120.4000	0.1793
120.5000	0.1822
120.6000	0.1924
120.7000	0.2083
120.8000	0.2282
120.9000	0.2499
121.0000	0.2712
121.1000	0.2897
121.2000	0.3034
121.3000	0.3105
121.4000	0.3093
121.5000	0.2988
121.6000	0.2784
121.7000	0.2481
121.8000	0.2083
121.9000	0.1601
122.0000	0.1048
122.1000	0.0442
122.2000	-0.0196
122.3000	-0.0846
122.4000	-0.1485
122.5000	-0.2093
122.6000	-0.2654
122.7000	-0.3151
122.8000	-0.3576
122.9000	-0.3922
123.0000	-0.4189
123.1000	-0.4380
123.2000	-0.4505
123.3000	-0.4574
123.4000	-0.4601
123.5000	-0.4603
123.6000	-0.4596
123.7000	-0.4594
123.8000	-0.4610
123.9000	-0.4655
124.0000	-0.4736
124.1000	-0.4854
124.2000	-0.5006
124.3000	-0.5187
124.4000	-0.5386
124.5000	-0.5589
124.6000	-0.5781
124.7000	-0.5945
124.8000	-0.6064
124.9000	-0.6122
125.0000	-0.6107
125.1000	-0.6007
125.2000	-0.5818
125.3000	-0.5538
125.4000	-0.5170
125.5000	-0.4721
125.6000	-0.4203
125.7000	-0.3632
125.8000	-0.3022
125.9000	-0.2394
126.0000	-0.1764
126.1000	-0.1150
126.2000	-0.0566
126.3000	-0.0024
126.4000	0.0470
126.5000	0.0910
126.6000	0.1298
126.7000	0.1639
126.8000	0.1940
126.9000	0.2212
127.0000	0.2467
127.1000	0.2716
127.2000	0.2973
127.3000	0.3246
127.4000	0.3543
127.5000	0.3869
127.6000	0.4223
127.7000	0.4603
127.8000	0.5000
127.9000	0.5403
128.0000	0.5801
128.1000	0.6177
128.2000	0.6516
128.3000	0.6803
128.4000	0.7024
128.5000	0.7169
128.6000	0.7229
128.7000	0.7202
128.8000	0.7086
128.9000	0.6887
129.0000	0.6611
129.1000	0.6270
129.2000	0.5878
129.3000	0.5447
129.4000	0.4994
129.5000	0.4533
129.6000	0.4075
129.7000	0.3631
129.8000	0.3209
129.9000	0.2813
130.0000	0.2443
130.1000	0.2100
130.2000	0.1778
130.3000	0.1472
130.4000	0.1178
130.5000	0.0888
130.6000	0.0598
130.7000	0.0305
130.8000	0.0009
130.9000	-0.0288
131.0000	-0.0583
131.1000	-0.0867
131.2000	-0.1131
131.3000	-0.1366
131.4000	-0.1560
131.5000	-0.1703
131.6000	-0.1786
131.7000	-0.1804
131.8000	-0.1753
131.9000	-0.1636
132.0000	-0.1456
132.1000	-0.1224
132.2000	-0.0953
132.3000	-0.0660
132.4000	-0.0364
132.5000	-0.0085
132.6000	0.0157
132.7000	0.0342
